id,code,name
41,A29,"Kiluda Bay, AK: Kiluda Bay Airport"
42,A30,"Terror Lake, AK: Terror Lake Airport"
43,A31,"Selief Bay, AK: Selief Bay Airport"
44,A34,"Laura Lake, AK: Laura Lake Airport"
45,A35,"Kaktovik, AK: Bullen Point AFS"
46,A36,"Deep Bay, AK: Deep Bay Airport"
47,A37,"Kako, AK: Kako Airport"
48,A38,"Molly Creek, AK: Molly Creek Airport"
49,A39,"Ptarmigan Lake, AK: Ptarmigan Lake Airport"
50,A40,"Cape Simpson, AK: Cape Simpson Airport"
51,A41,"Kogru River, AK: Kogru River Airport"
52,A42,"Teshepkuk Lake, AK: Teshepkuk Lake Airport"
53,A43,"Kodiak Island, AK: Trident Basin Seaplane Base"
54,A45,"Lake Florence, AK: Lake Florence Airport"
55,A46,"Lake Hasselborg, AK: Lake Hasselborg Airport"
56,A47,"Distin Lake, AK: Distin Lake Airport"
57,A48,"Port Hobron, AK: Port Hobron Airport"
58,A49,"Mooseville Airstrip, AK: Mooseville Airstrip Airport"
59,A50,"Big Bay, AK: Big Bay Airport"
60,A51,"Wien Lake, AK: Wien Lake Airport"
61,A52,"Silver Salmon Creek, AK: Silver Salmon Creek Airport"
62,A53,"Blear Lake, AK: Blear Lake Airport"
63,A54,"Cannery Bay, AK: Cannery Bay Airport"
64,A56,"Bear Lake, AK: Johnsons Landing"
65,A57,"International Seafoods, AK: International Seafoods Airport"
66,A58,"Cosna River, AK: Cosna River Airport"
67,A59,"Ivatuk, AK: Ivatuk Airport"
68,A61,"Cape Sarichef, AK: Cape Sarichef Airport"
69,A62,"Taylor Mountain Mine, AK: Taylor Mountain"
70,A63,"Yukon Charley Rivvers, AK: Coal Creek"
71,A65,"Karluk Portage, AK: Karluk Portage Airport"
72,A66,"Hope, AK: Hope Airport"
73,A67,"Viekoda Bay, AK: Viekoda Bay Airport"
74,A69,"Cold Bay, AK: Cathedral Strip"
75,A70,"Village Islands, AK: Village Islands Airport"
76,A71,"Homer, AK: Bear Cove Farm"
77,A72,"Chinitna Bay, AK: Chinitna Bay Airport"
78,A73,"McKinley Park, AK: McKinley National Park"
79,A74,"Nanwalek, AK: Dog Fish Bay"
80,A75,"Malina Bay, AK: Malina Bay Airport"
81,A76,"Red Fox Bay, AK: Red Fox Bay Airport"
82,A77,"Shearwater, AK: Shearwater Airport"
83,A78,"Cape Simpson, AK: Lake"
84,A79,"Cape Simpson, AK: Cape Simpson No. 1"
85,A80,"Cape Simpson, AK: Cape Simpson No. 7"
86,A81,"Aglaq, AK: Cape Simpson #1"
87,A82,"Nikiski, AK: Nikiski Private Airstrip"
88,A83,"Petrof Point, AK: Petrof Point Airport"
89,A84,"Denali, AK: Denali West Lodge Private"
90,A85,"Big River, AK: Big River Airport"
91,A87,"Carry Inlet, AK: Carry Inlet Airport"
92,A89,"Montague Island, AK: Montague Island Airport"
93,A90,"Shannon Pond, AK: Shannon Pond Airport"
94,A91,"Omalik Lagoon, AK: Omalik Lagoon Airport"
95,A92,"Omolik Lagoon, AK: Omolik Lagoon Airport"
96,A93,"Bradley Lake Project, AK: Bradley Lake Project Airport"
97,A94,"Barrow, AK: Ice Strip"
98,A95,"Barrow, AK: Ice Strip"
99,A96,"Barrow, AK: Ice Strip"
100,A97,"Akulik, AK: Akulik Air Strip"
101,A98,"Deadfall, AK: Deadfall Air Strip"
102,A99,"Eagle Creek, AK: Eagle Creek Airport"
103,AA1,"Bethel, AK: Ice Kong"
104,AA4,"Kachemak Bay, AK: Glacier Split"
105,AA5,"Selby Lake, AK: Selby Lake Airport"
106,AA7,"Independence Creek, AK: Independence Creek Airport"
107,AA8,"Deadhorse, AK: Badami"
108,AAA,"Anaa, French Polynesia: Anaa Airport"
109,AAB,"Arrabury, Australia: Arrabury Station"
110,AAC,"El Arish, Egypt: El Arish International"
111,AAD,"Ad-Dabbah, Sudan: Ad-Dabbah Airport"
112,AAE,"Annaba, Algeria: Rabah Bitat"
113,AAF,"Apalachicola, FL: Apalachicola Regional"
114,AAH,"Aachen, Germany: Aachen/Merzbruck"
115,AAI,"Arraias, Brazil: Arraias Airport"
116,AAL,"Aalborg, Denmark: Aalborg Airport"
117,AAM,"Mala Mala, South Africa: Malamala"
118,AAN,"Al Ain, United Arab Emirates: Al Ain International"
119,AAO,"Anaco, Venezuela: Anaco Airport"
120,AAQ,"Anapa, Russia: Vityazevo"
121,AAR,"Aarhus, Denmark: Aarhus Airport"
122,AAU,"Asau, Samoa: Asau W Sam"
123,AAX,"Araxa, Brazil: Araxa Airport"
124,ABA,"Abakan, Russia: Abakan Airport"
125,ABD,"Abadan, Iran: Abadan Airport"
126,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
127,ABI,"Abilene, TX: Abilene Regional"
128,ABJ,"Abidjan, Cote d''Ivoire: Abidjan Felix Houphouet Boigny International"
129,ABK,"Kabri Dar, Ethiopia: Kebri Dahar"
130,ABL,"Ambler, AK: Ambler River"
131,ABQ,"Albuquerque, NM: Albuquerque International Sunport"
132,ABR,"Aberdeen, SD: Aberdeen Regional"
133,ABS,"Abu Simbel, Egypt: Abu Simbel Airport"
134,ABT,"Al-Baha, Saudi Arabia: Al-Baha Airport"
135,ABV,"Abuja, Nigeria: Abuja Nnamdi Azikiwe International"
136,ABX,"Albury, Australia: Albury Airport"
137,ABY,"Albany, GA: Southwest Georgia Regional"
138,ABZ,"Aberdeen, United Kingdom: Aberdeen Dyce"
139,ACA,"Acapulco, Mexico: General Juan N Alvarez International"
140,ACB,"Bellaire, MI: Antrim County"
141,ACC,"Accra, Ghana: Accra Kotoka International"
142,ACE,"Arrecife, Spain: Lanzarote"
143,ACH,"Altenrhein, Switzerland: St Gallen Altenrhein"
144,ACI,"Alderney, United Kingdom: Alderney Airport"
145,ACK,"Nantucket, MA: Nantucket Memorial"
146,ACT,"Waco, TX: Waco Regional"
147,ACU,"Achutupo, Panama: Achutupo Airport"
148,ACV,"Arcata/Eureka, CA: Arcata"
149,ACY,"Atlantic City, NJ: Atlantic City International"
150,ADA,"Adana, Turkey: Adana International"
151,ADB,"Izmir, Turkey: Adnan Menderes"
152,ADC,"Andakombe, Papua New Guinea: Andakombe Airport"
153,ADD,"Addis Ababa, Ethiopia: Bole International"
154,ADE,"Aden, Yemen: Aden International"
155,ADJ,"Amman, Jordan: Marka International"
156,ADK,"Adak Island, AK: Adak"
157,ADL,"Adelaide, Australia: Adelaide International"
158,ADM,"Ardmore, OK: Ardmore Municipal"
159,ADN,"Andes, Colombia: Andes Airport"
160,ADO,"Andamooka, Australia: Andamooka Airport"
161,ADQ,"Kodiak, AK: Kodiak Airport"
162,ADS,"Dallas, TX: Addison"
163,ADT,"Ada, OK: Ada Municipal"
164,ADW,"Camp Springs, MD: Joint Base Andrews"
165,ADX,"St Andrews, United Kingdom: RAF Leuchars"
166,ADZ,"San Andres Island, Colombia: Gustavo Rojas Pinilla"
167,AED,"Aleneva, AK: Aleneva Airport"
168,AEG,"Padang Sidempuan, Indonesia: Aek Godang"
169,AEH,"Abeche, Chad: Abeche Airport"
170,AEO,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
171,AEP,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
172,AER,"Adler/Sochi, Russia: Adler/Sochi Airport"
173,AES,"Aalesund, Norway: Vigra"
174,AET,"Allakaket, AK: Allakaket Airport"
175,AEX,"Alexandria, LA: Alexandria International"
176,AEY,"Akureyri, Iceland: Akureyri Airport"
177,AF1,"Bagram, Afghanistan: Bagram Air Base"
178,AF2,"Lashkar Gah, Afghanistan: Bastion Airfield"
179,AF3,"Dwyer, Afghanistan: Dwyer Airport"
180,AF4,"Shindand, Afghanistan: Shindand Airport"
181,AFA,"San Rafael, Argentina: San Rafael Airport"
182,AFF,"Colorado Springs, CO: USAF Academy Airfield"
183,AFK,"Nebraska, NE: Nebraska City Municipal"
184,AFO,"Afton, WY: Afton Municipal"
185,AFP,"Wadesboro, NC: Anson County"
186,AFU,"Doha, Qatar: Al Udeid Air Base"
187,AFW,"Dallas/Fort Worth, TX: Fort Worth Alliance"
188,AFY,"Afyon, Turkey: Afyon Airport"
189,AGA,"Agadir, Morocco: Inezgane"
190,AGB,"Augsburg, Germany: Augsburg Airport"
191,AGC,"Pittsburgh, PA: Allegheny County"
192,AGF,"Agen, France: Agen La Garenne"
193,AGG,"Angoram, Papua New Guinea: Angoram Airport"
194,AGH,"Angelholm/Helsingborg, Sweden: Angelholm"
195,AGK,"Kagua, Papua New Guinea: Kagua Airport"
196,AGL,"Wanigela, Papua New Guinea: Wanigela Airport"
197,AGN,"Angoon, AK: Angoon Seaplane Base"
198,AGP,"Malaga, Spain: Malaga Costa del Sol"
199,AGQ,"Agrinion, Greece: Agrinion Airport"
200,AGR,"Agra, India: Agra Airport"
201,AGS,"Augusta, GA: Augusta Regional at Bush Field"
202,AGT,"Ciudad del Este, Paraguay: Guarani International"
203,AGU,"Aguascalientes, Mexico: Jesus Teran International"
204,AGV,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
205,AGX,"Agatti Island, India: Agatti Island Airport"
206,AHA,"Okinawa, Japan: Naha AB"
207,AHB,"Abha, Saudi Arabia: Abha Airport"
208,AHD,"Ardmore, OK: Ardmore Downtown Executive"
209,AHN,"Athens, GA: Athens/Ben Epps"
210,AHO,"Alghero/Sassari, Italy: Alghero"
211,AHS,"Ahuas, Honduras: Ahuas Airport"
212,AHT,"Amchitka Island, AK: Amchitka"
213,AHU,"Al Hoceima, Morocco: Cherif El Idrissi International"
214,AIA,"Alliance, NE: Alliance Municipal"
215,AIB,"Anita Bay, AK: Anita Bay Airport"
216,AID,"Anderson, IN: Anderson Municipal-Darlington Field"
217,AIK,"Aiken, SC: Aiken Municipal"
218,AIN,"Wainwright, AK: Wainwright Airport"
219,AIT,"Aitutaki, Cook Islands: Aitutaki Airport"
220,AIY,"Atlantic City, NJ: Bader Field"
221,AIZ,"Lake of the Ozarks, MO: Lee C Fine Memorial"
222,AJA,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
223,AJF,"Jouf, Saudi Arabia: Al Jouf"
224,AJJ,"Akjoujt, Mauritania: Akjoujt Airport"
225,AJL,"Aizwal, India: Lengpui"
226,AJN,"Anjouan, Comoros: Ouani"
227,AJR,"Arvidsjaur, Sweden: Arvidsjaur Airport"
228,AJU,"Aracaju, Brazil: Santa Maria"
229,AJY,"Agades, Niger: Manu Dayak"
230,AK1,"Seward Peninsula, AK: Kelly Creek Airstrip"
231,AK2,"Bear Fish Camp, AK: Bear Fish Camp Airport"
232,AK3,"Fairbanks, AK: Gold King Creek"
233,AK4,"Squaw Lake, AK: Squaw Lake Airport"
234,AK5,"Qugruc, AK: Qugruc Airport"
235,AK6,"Gold King 2, AK: Gold King 2 Airport"
236,AK7,"Rampart, AK: Hunter Creek"
237,AKB,"Atka, AK: Atka Airport"
238,AKC,"Akron, OH: Akron Fulton International"
239,AKF,"Kufrah, Libya: Kufra"
240,AKH,"Al Kharj, Saudi Arabia: Prince Sultan AB"
241,AKI,"Akiak, AK: Akiak Airport"
242,AKJ,"Asahikawa, Japan: Asahikawa Airport"
243,AKK,"Akhiok, AK: Akhiok Airport"
244,AKL,"Auckland, New Zealand: Auckland International"
245,AKN,"King Salmon, AK: King Salmon Airport"
246,AKO,"Akron, CO: Colorado Plains Regional"
247,AKP,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
248,AKR,"Akure, Nigeria: Akure Airport"
249,AKS,"Auki, Solomon Islands: Auki Gwaunaru University"
250,AKT,"Akrotiri, Cyprus: Akrotiri Airport"
251,AKX,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
252,AKY,"Sittwe, Burma: Sittwe Airport"
253,AL1,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field"
254,AL2,"Alabaster, AL: Shelby County"
255,AL3,"Huntsville, AL: Madison County Executive/Tom Sharp Jr. Field"
256,AL4,"Andalusia/Opp, AL: South Alabama Regional at Bill Benton Field"
257,AL5,"Demopolis, AL: Demopolis Municipal"
258,AL6,"Fairhope, AL: H. L. Sonny Callahan"
259,ALA,"Almaty, Kazakhstan: Almaty Airport"
260,ALB,"Albany, NY: Albany International"
261,ALC,"Alicante, Spain: Alicante Airport"
262,ALE,"Alpine, TX: Alpine Casparis Municipal"
263,ALF,"Alta, Norway: Alta Airport"
264,ALG,"Algiers, Algeria: Houari Boumediene"
265,ALH,"Albany, Australia: Albany Airport"
266,ALI,"Alice, TX: Alice International"
267,ALJ,"Alexander Bay, South Africa: Alexander Bay Airport"
268,ALK,"Asela, Ethiopia: Asela Airport"
269,ALM,"Alamogordo, NM: Alamogordo White Sands Regional"
270,ALN,"Alton, IL: St. Louis Regional"
271,ALO,"Waterloo, IA: Waterloo Regional"
272,ALP,"Aleppo, Syria: Aleppo International"
273,ALQ,"Alegrete, Brazil: Alegrete Airport"
274,ALR,"Alexandra, New Zealand: Alexandra Airport"
275,ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
276,ALT,"Alenquer, Brazil: Alenquer Airport"
277,ALU,"Alula, Somalia: Alula Airport"
278,ALW,"Walla Walla, WA: Walla Walla Regional"
279,ALX,"Alexander City, AL: Thomas C. Russell Field"
280,ALY,"Alexandria, Egypt: Alexandria International"
281,ALZ,"Lazy Bay, AK: Alitak Seaplane Base"
282,AMA,"Amarillo, TX: Rick Husband Amarillo International"
283,AMD,"Ahmedabad, India: Ahmedabad Airport"
284,AMF,"Ama, Papua New Guinea: Ama Airport"
285,AMG,"Amboin, Papua New Guinea: Amboin Airport"
286,AMH,"Arba Minch, Ethiopia: Arba Minch Airport"
287,AMI,"Mataram, Indonesia: Selaparang"
288,AMK,"Durango, CO: Animas Air Park"
289,AML,"Puerto Armuelles, Panama: Puerto Armuelles Airport"
290,AMM,"Amman, Jordan: Queen Alia International"
291,AMN,"Alma, MI: Gratiot Community"
292,AMO,"Mao, Chad: Mao Airport"
293,AMP,"Ampanihy, Madagascar: Ampanihy Airport"
294,AMQ,"Ambon, Indonesia: Pattimura"
295,AMS,"Amsterdam, Netherlands: Schiphol"
296,AMW,"Ames, IA: Ames Municipal"
297,AMX,"Ammaroo, Australia: Ammaroo Station"
298,AMY,"Ambatomainty, Madagascar: Ambatomainty Airport"
299,ANA,"Anaheim, CA: Anaheim-Disneyland HP"
300,ANB,"Anniston, AL: Anniston Regional"
301,ANC,"Anchorage, AK: Ted Stevens Anchorage International"
302,AND,"Anderson, SC: Anderson Regional"
303,ANE,"Angers, France: Angers Marce"
304,ANF,"Antofagasta, Chile: Cerro Moreno International"
305,ANG,"Angouleme, France: Angouleme Brie Champniers"
306,ANI,"Aniak, AK: Aniak Airport"
307,ANK,"Ankara, Turkey: Etimesgut"
308,ANM,"Antalaha, Madagascar: Antsirabato"
309,ANN,"Annette, AK: Annette Island"
310,ANO,"Angoche, Mozambique: Angoche Airport"
311,ANP,"Annapolis, MD: Lee"
312,ANR,"Antwerp, Belgium: Deurne"
313,ANS,"Andahuaylas, Peru: Andahuaylas Airport"
314,ANU,"St. Johns, Antigua and Barbuda: V C Bird International"
315,ANV,"Anvik, AK: Anvik Airport"
316,ANX,"Andeness, Norway: Andoya"
317,AOH,"Lima, OH: Lima Allen County"
318,AOI,"Ancona, Italy: Falconara"
319,AOJ,"Aomori, Japan: Aomori Airport"
320,AOK,"Karpathos, Greece: Karpathos Airport"
321,AOL,"Paso de Los Libres, Argentina: Paso de Los Libres Airport"
322,AOO,"Altoona, PA: Altoona-Blair County"
323,AOR,"Alor Setar, Malaysia: Sultan Abdul Halim"
324,AOS,"Amook Bay, AK: Amook Bay Airport"
325,APA,"Denver, CO: Centennial"
326,APB,"Apolo, Bolivia: Apolo Airport"
327,APC,"Napa, CA: Napa County"
328,APE,"San Juan Aposento, Peru: San Juan Aposento Airport"
329,APF,"Naples, FL: Naples Municipal"
330,APG,"Aberdeen, MD: Phillips AAF"
331,API,"Villavicencio, Colombia: Gomez Nino Apiay AB"
332,APK,"Apataki, French Polynesia: Apataki Airport"
333,APL,"Nampula, Mozambique: Nampula Airport"
334,APN,"Alpena, MI: Alpena County Regional"
335,APO,"Apartado, Colombia: Apartado Airport"
336,APR,"April River, Papua New Guinea: April River Airport"
337,APT,"Jasper, TN: Marion County Brown Field"
338,APV,"Apple Valley, CA: Apple Valley Airport"
339,APW,"Apia, Samoa: Faleolo International"
340,AQI,"Qaisumah, Saudi Arabia: Hafr Al Batin"
341,AQJ,"Aqaba, Jordan: Aqaba King Hussein International"
342,AQP,"Arequipa, Peru: Rodriguez Ballon International"
343,AQS,"Saqani, Fiji: Saqani Airport"
344,AQY,"Girdwood, AK: Girdwood Airport"
345,AR1,"Russellville, AR: Russellville Regional"
346,AR2,"Conway, AR: Dennis F Cantrell Field"
347,ARA,"New Iberia, LA: Acadiana Regional"
348,ARB,"Ann Arbor, MI: Ann Arbor Municipal"
349,ARC,"Arctic Village, AK: Arctic Village Airport"
350,ARD,"Alor, Indonesia: Arcadia Municipal"
351,ARE,"Arecibo, PR: Antonio/Nery/Juarbe Pol"
352,ARG,"Walnut Ridge, AR: Walnut Ridge Regional"
353,ARH,"Arkhangelsk, Russia: Talagi"
354,ARI,"Arica, Chile: Chacalluta"
355,ARK,"Arusha, Tanzania: Arusha Airport"
356,ARM,"Armidale, Australia: Armidale Airport"
357,ARN,"Stockholm, Sweden: Arlanda"
358,ARP,"Aragip, Papua New Guinea: Aragip Airport"
359,ARQ,"Arauquita, Colombia: Arauquita Airport"
360,ARS,"Aragarcas, Brazil: Aragarcas Airport"
361,ART,"Watertown, NY: Watertown International"
362,ARU,"Aracatuba, Brazil: Aracatuba Airport"
363,ARV,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field"
364,ARW,"Arad, Romania: Arad Airport"
365,ARX,"Asbury Park, NJ: Asbury Park/Monmouth County"
366,ARY,"Ararat, Australia: Ararat Airport"
367,ARZ,"N''zeto, Angola: N''zeto Airport"
368,ASA,"Assab, Eritrea: Assab International"
369,ASB,"Ashgabat, Turkmenistan: Ashgabat Airport"
370,ASC,"Ascension, Bolivia: Ascension Airport"
371,ASD,"Andros Town, The Bahamas: Fresh Creek"
372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
373,ASG,"Ashburton, New Zealand: Ashburton Airport"
374,ASH,"Nashua, NH: Boire Field"
375,ASI,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af"
376,ASJ,"Amami O Shima, Japan: Amami"
377,ASK,"Yamoussoukro, Cote d''Ivoire: Yamoussoukro Airport"
378,ASL,"Marshall, TX: Harrison County"
379,ASM,"Asmara, Eritrea: Asmara International"
380,ASN,"Talladega, AL: Talladega Municipal"
381,ASO,"Asosa, Ethiopia: Asosa Airport"
382,ASP,"Alice Springs, Australia: Alice Springs Airport"
383,ASQ,"Austin, NV: Austin Airport"
384,ASR,"Kayseri, Turkey: Erkilet"
385,AST,"Astoria/Seaside, OR: Astoria Regional"
386,ASU,"Asuncion, Paraguay: Silvio Pettirossi International"
387,ASW,"Aswan, Egypt: Aswan International"
388,ASX,"Ashland, WI: John F Kennedy Memorial"
389,ASY,"Ashley, ND: Ashley Municipal"
390,ATA,"Anta, Peru: Anta Huaraz"
391,ATB,"Atbara, Sudan: Atbara Airport"
392,ATC,"Arthur''s Town, The Bahamas: Arthur''s Town Airport"
393,ATE,"Antlers, OK: Antlers Municipal"
394,ATH,"Athens, Greece: Eleftherios Venizelos International"
395,ATI,"Artigas, Uruguay: Artigas International"
396,ATK,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial"
397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
398,ATM,"Altamira, Brazil: Altamira Airport"
399,ATN,"Namatanai, Papua New Guinea: Namatanai Airport"
400,ATO,"Athens, OH: Ohio University Snyder Field"
401,ATP,"Aitape, Papua New Guinea: Aitape Airport"
402,ATQ,"Amritsar, India: Amritsar Airport"
403,ATR,"Atar, Mauritania: Atar Airport"
404,ATS,"Artesia, NM: Artesia Municipal"
405,ATT,"Atmautluak, AK: Atmautluak Airport"
406,ATU,"Attu, AK: Casco Cove CGS"
407,ATV,"Ati, Chad: Ati Airport"
408,ATW,"Appleton, WI: Outagamie County Regional"
409,ATY,"Watertown, SD: Watertown Regional"
410,ATZ,"Assiut, Egypt: Assiut Airport"
411,AU1,"Weipa, Australia: Scherger"
412,AUA,"Aruba, Aruba: Reina Beatrix International"
413,AUC,"Arauca, Colombia: Santiago Perez"
414,AUD,"Augustus Downs, Australia: Augustus Downs Airport"
415,AUG,"Augusta/Waterville, ME: Augusta State"
416,AUH,"Abu Dhabi, United Arab Emirates: Abu Dhabi International"
417,AUI,"Aua Island, Papua New Guinea: Aua Island Airport"
418,AUK,"Alakanuk, AK: Alakanuk Airport"
419,AUM,"Austin/Albert Lea, MN: Austin Municipal"
420,AUN,"Auburn, CA: Auburn Municipal"
421,AUO,"Auburn, AL: Auburn University Regional"
422,AUP,"Aguan, Papua New Guinea: Aguan Papua N.G."
423,AUQ,"Atuona, French Polynesia: Hiva Oa/Atuona"
424,AUR,"Aurillac, France: Aurillac Airport"
425,AUS,"Austin, TX: Austin - Bergstrom International"
426,AUW,"Wausau, WI: Wausau Downtown"
427,AUX,"Araguaina, Brazil: Araguaina Airport"
428,AUY,"Aneityum, Vanuatu: Aneityum Airport"
429,AUZ,"Aurora, IL: Aurora Municipal"
430,AVB,"Aviano, Italy: Aviano AB"
431,AVI,"Ciego de Avila, Cuba: Maximo Gomez"
432,AVL,"Asheville, NC: Asheville Regional"
433,AVN,"Avignon, France: Avignon Caumont"
434,AVO,"Avon Park, FL: Avon Park Executive"
435,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
436,AVV,"Avalon, Australia: Avalon Airport"
437,AVW,"Tucson, AZ: Marana Regional"
438,AVX,"Avalon, CA: Catalina"
439,AWA,"Awasa, Ethiopia: Lake Awasa"
440,AWK,"Wake Island, TT: Wake Island Airfield"
441,AWM,"West Memphis, AR: West Memphis Municipal"
442,AWR,"Awar, Papua New Guinea: Awar Airport"
443,AWX,"Andrews, TX: Andrews County"
444,AWZ,"Ahwaz, Iran: Ahwaz Airport"
445,AXA,"The Valley, Anguilla: Clayton J. Lloyd"
446,AXB,"Alexandria Bay, NY: Maxson Airfield"
447,AXC,"Aramac, Australia: Aramac Airport"
448,AXD,"Alexandroupolis, Greece: Dimokritos"
449,AXM,"Armenia, Colombia: El Eden"
450,AXN,"Alexandria, MN: Chandler Field"
451,AXP,"Spring Point, The Bahamas: Spring Point Airport"
452,AXS,"Altus, OK: Altus/Quartz Mountain Regional"
453,AXT,"Akita, Japan: Akita Airport"
454,AXU,"Axum, Ethiopia: Axum Airport"
455,AXV,"Wapakoneta, OH: Neil Armstrong"
456,AXX,"Eagle Nest, NM: Angel Fire"
457,AYL,"Anthony Lagoon, Australia: Anthony Lagoon Airport"
458,AYP,"Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte"
459,AYQ,"Ayers Rock, Australia: Ayers Rock Connellan"
460,AYR,"Ayr, Australia: Ayr Airport"
461,AYS,"Waycross, GA: Waycross-Ware County"
462,AYT,"Antalya, Turkey: Antalya Airport"
463,AYW,"Ayawasi, Indonesia: Ayawasi Airport"
464,AZ1,"Grand Canyon, AZ: Valle"
465,AZ2,"Williams, AZ: H. A. Clark Memorial Field"
466,AZ3,"Glendale, AZ: Glendale Municipal"
467,AZ4,"Salome, AZ: Sheepy Hollow Ranch"
468,AZ5,"Springerville, AZ: Springerville Municipal"
469,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway"
470,AZD,"Yazd, Iran: Shahid Sadooghi"
471,AZG,"Apatzingan, Mexico: Pablo L. Sidar"
472,AZI,"Abu Dhabi, United Arab Emirates: Al Bateen Executive"
473,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
474,AZS,"Samana, Dominican Republic: El Catey International"
475,B19,"Biddeford, ME: Biddeford Municipal"
476,B21,"Carrabassett, ME: Sugarloaf Regional"
477,BAA,"Bialla, Papua New Guinea: Bialla Airport"
478,BAB,"Marysville, CA: Beale AFB"
479,BAC,"Barranca de Upia, Colombia: Barranca de Upia Airport"
480,BAD,"Shreveport, LA: Barksdale AFB"
481,BAE,"Barcelonnette, France: Barcelonnette Airport"
482,BAF,"Westfield, MA: Westfield Barnes Regional"
483,BAG,"Baguio, Philippines: Baguio Airport"
484,BAH,"Manama, Bahrain: Bahrain International"
485,BAI,"Buenos Aires, Costa Rica: Buenos Aires Airport"
486,BAK,"Baku, Azerbaijan: Baku Metropolitan Area"
487,BAL,"Batman, Turkey: Batman Airport"
488,BAM,"Battle Mountain, NV: Battle Mountain Airport"
489,BAO,"Ban Mak Khaeng, Thailand: Udorn AB"
490,BAQ,"Barranquilla, Colombia: Ernesto Cortissoz"
491,BAR,"Baker Island, AK: Baker AAF"
492,BAT,"Barretos, Brazil: Chafei Amsei"
493,BAU,"Bauru, Brazil: Bauru-Arealva"
494,BAV,"Baotou, China: Baotou Airport"
495,BAX,"Barnaul, Russia: Barnaul Airport"
496,BAY,"Baia Mare, Romania: Baia Mare Airport"
497,BAZ,"Barcelos, Brazil: Barcelos Airport"
498,BBA,"Balmaceda, Chile: Balmaceda Airport"
499,BBC,"Bay City, TX: Bay City Municipal"
500,BBF,"Burlington, MA: N Eng Heliport"
501,BBH,"Al-Baha, Saudi Arabia: Al-Baha Airport"
